###RTT Client: ************************************************************ 
###RTT Client: *               SEGGER Microcontroller GmbH                * 
###RTT Client: *   Solutions for real time microcontroller applications   * 
###RTT Client: ************************************************************ 
###RTT Client: *                                                          * 
###RTT Client: *       (c) 2012 - 2016  SEGGER Microcontroller GmbH       * 
###RTT Client: *                                                          * 
###RTT Client: *     www.segger.com     Support: support@segger.com       * 
###RTT Client: *                                                          * 
###RTT Client: ************************************************************ 
###RTT Client: *                                                          * 
###RTT Client: * SEGGER J-Link RTT Client   Compiled Mar  5 2026 11:08:33 * 
###RTT Client: *                                                          * 
###RTT Client: ************************************************************ 

###RTT Client: -----------------------------------------------
###RTT Client: Connecting to J-Link RTT Server via localhost:19021 ............................
###RTT Client: Connected.

SEGGER J-Link V9.18 - Real time terminal output
SEGGER J-Link V9.7, SN=602712484
Process: Ozone

###RTT Client: Connection lost. Going to reconnect.
###RTT Client: Connecting to J-Link RTT Server via localhost:19021 ...
###RTT Client: Connected.

SEGGER J-Link V9.18 - Real time terminal output
SEGGER J-Link V9.7, SN=602712484
Process: Ozone
time,gx,gy,gz
1054,-732,259,-101
1056,-732,260,-101
1058,-732,260,-101
1060,-732,260,-101
1062,-733,260,-101
1064,-733,260,-101
1066,-733,260,-101
1068,-733,261,-101
1070,-733,261,-101
1072,-733,261,-101
1074,-734,261,-101
1076,-734,261,-101
1078,-734,262,-101
1080,-734,261,-101
1082,-734,261,-101
1084,-734,261,-101
1086,-734,262,-101
1088,-734,262,-101
1090,-734,262,-101
1092,-734,262,-101
1094,-734,263,-101
1096,-734,263,-101
1098,-735,263,-101
1100,-735,263,-101
1102,-735,262,-101
1104,-736,261,-101
1106,-737,261,-101
1108,-737,261,-101
1110,-737,261,-101
1112,-737,261,-101
1114,-738,261,-101
1116,-738,260,-101
1118,-739,260,-101
1120,-739,260,-101
1122,-739,260,-101
1124,-739,261,-101
1126,-739,261,-101
1128,-739,262,-101
1130,-740,262,-101
1132,-740,262,-101
1134,-741,263,-102
1136,-742,263,-102
1138,-744,262,-102
1140,-745,262,-102
1142,-746,262,-103
1144,-747,263,-103
1146,-748,263,-103
1148,-748,263,-103
1150,-748,262,-103
1152,-748,263,-103
1154,-748,263,-103
1156,-748,262,-103
1158,-748,262,-103
1160,-748,262,-103
1162,-748,262,-103
1164,-747,261,-103
1166,-747,261,-103
1168,-746,261,-102
1170,-747,261,-102
1172,-747,261,-102
1174,-746,260,-102
1176,-745,260,-102
1178,-745,261,-102
1180,-744,260,-101
1182,-744,260,-101
1184,-744,259,-101
1186,-743,259,-101
1188,-743,258,-101
1190,-743,258,-101
1192,-743,258,-101
1194,-743,257,-101
1196,-744,257,-101
1198,-744,257,-101
1200,-744,256,-101
1202,-745,256,-101
1204,-745,256,-101
1206,-746,256,-101
1208,-747,256,-101
1210,-747,257,-101
1212,-748,256,-101
1214,-748,256,-101
1216,-749,257,-101
1218,-749,257,-101
1220,-749,257,-101
1222,-750,258,-101
1224,-751,258,-101
1226,-752,258,-101
1228,-753,258,-101
1230,-754,259,-101
1232,-754,259,-101
1234,-755,260,-102
1236,-756,260,-102
1238,-758,260,-102
1240,-760,260,-102
1254,-766,260,-104
1256,-767,259,-104
1258,-767,259,-104
1260,-767,259,-104
1262,-768,259,-104
1264,-768,259,-104
1266,-769,259,-104
1268,-769,258,-104
1270,-770,258,-104
1272,-771,258,-104
1274,-771,258,-104
1276,-771,258,-104
1278,-771,258,-104
1280,-772,258,-104
1282,-772,258,-104
1284,-772,257,-104
1286,-772,257,-104
1288,-772,257,-104
1290,-773,257,-103
1292,-772,256,-103
1294,-772,256,-103
1296,-772,256,-103
1298,-772,256,-103
1300,-773,256,-103
1302,-774,257,-103
1304,-775,257,-103
1306,-775,257,-103
1308,-776,257,-103
1310,-777,257,-103
1312,-778,257,-103
1314,-778,257,-103
1316,-779,257,-103
1318,-779,256,-103
1320,-779,256,-103
1322,-779,256,-103
1324,-780,257,-103
1326,-781,257,-103
1328,-782,257,-103
1330,-783,256,-104
1332,-783,256,-104
1334,-785,255,-104
1336,-785,255,-104
1338,-786,254,-105
1340,-787,254,-105
1342,-789,254,-105
1344,-790,253,-105
1346,-792,253,-106
1348,-794,252,-106
1350,-795,251,-106
1352,-797,251,-107
1354,-799,251,-107
1356,-801,251,-108
1358,-803,251,-108
1360,-805,250,-109
1362,-807,250,-109
1364,-809,251,-110
1366,-811,251,-110
1368,-813,251,-111
1370,-815,251,-111
1372,-818,251,-112
1374,-819,251,-112
1376,-821,250,-112
1378,-824,250,-113
1380,-826,249,-113
1382,-827,247,-114
1384,-829,246,-114
1386,-831,245,-114
1388,-833,244,-115
1390,-835,243,-115
1392,-837,241,-115
1394,-838,241,-116
1396,-841,240,-116
1398,-843,240,-117
1400,-845,239,-117
1402,-847,239,-118
1404,-849,239,-118
1406,-851,238,-119
1408,-853,238,-119
1410,-855,238,-119
1412,-857,238,-120
1414,-859,237,-120
1416,-861,237,-121
1418,-863,237,-121
1420,-865,237,-122
1422,-867,237,-122
1424,-868,237,-122
1426,-869,237,-123
1428,-870,237,-123
1430,-871,237,-123
1432,-872,236,-123
1434,-873,236,-124
1436,-874,235,-124
1438,-874,235,-124
1440,-875,235,-124
1442,-876,234,-124
1444,-877,234,-125
1446,-878,234,-125
1448,-879,234,-125
1450,-879,234,-125
1452,-880,234,-125
1454,-881,234,-126
1456,-882,234,-126
1458,-883,233,-126
1460,-883,233,-126
1462,-884,233,-126
1464,-885,233,-126
1466,-886,232,-127
1468,-886,232,-127
1470,-887,232,-127
1472,-888,232,-127
1474,-889,231,-128
1476,-890,231,-128
1478,-891,231,-128
1480,-892,230,-128
1482,-893,230,-128
1484,-894,230,-129
1486,-895,230,-129
1488,-896,230,-129
1490,-897,230,-129
1492,-897,230,-130
1494,-898,230,-130
1496,-899,229,-130
1498,-900,229,-130
1500,-901,229,-130
1502,-901,229,-130
1504,-902,229,-131
1506,-902,229,-131
1508,-903,229,-131
1510,-904,229,-131
1512,-904,228,-131
1514,-905,228,-132
1516,-905,228,-132
1518,-906,229,-132
1520,-906,228,-132
1522,-906,228,-132
1524,-907,228,-132
1526,-907,228,-132
1528,-907,228,-132
1530,-907,228,-132
1532,-907,228,-132
1534,-908,228,-132
1536,-908,227,-132
1538,-908,227,-133
1540,-909,227,-133
1542,-909,227,-133
1544,-910,226,-133
1546,-910,226,-133
1548,-911,226,-133
1550,-911,226,-133
1552,-912,226,-133
1554,-912,226,-133
1556,-913,226,-134
1558,-914,225,-134
1560,-914,225,-134
1562,-915,225,-134
1564,-916,225,-134
1566,-916,224,-134
1568,-917,224,-135
1570,-918,224,-135
1572,-918,224,-135
1574,-919,223,-135
1576,-920,223,-135
1578,-921,223,-135
1580,-922,223,-136
1582,-922,223,-136
1584,-923,223,-136
1586,-923,222,-136
1588,-924,222,-136
1590,-924,222,-136
1592,-924,222,-136
1594,-924,222,-136
1596,-925,222,-136
1598,-926,222,-137
1600,-927,222,-137
1602,-927,222,-137
1604,-928,222,-137
1606,-928,222,-137
1608,-929,222,-137
1610,-929,222,-137
1612,-930,221,-138
1614,-930,221,-138
1616,-930,221,-138
1618,-931,221,-138
1620,-933,221,-138
1622,-933,220,-138
1624,-934,220,-139
1626,-935,221,-139
1628,-935,221,-139
1630,-936,221,-139
1632,-936,221,-139
1634,-937,220,-140
1636,-938,221,-140
1638,-939,220,-140
1640,-940,221,-140
1642,-940,221,-140
1644,-941,220,-141
1646,-941,220,-141
1648,-942,220,-141
1650,-942,220,-141
1652,-942,220,-141
1654,-943,219,-141
1656,-943,219,-141
1658,-943,219,-141
1660,-943,219,-142
1662,-943,219,-142
1664,-943,219,-142
1666,-943,219,-142
1668,-942,219,-142
1670,-942,219,-142
1672,-941,219,-142
1674,-941,219,-141
1676,-940,219,-141
1678,-940,218,-141
1680,-939,217,-141
1682,-939,217,-141
1684,-938,217,-141
1686,-937,216,-141
1688,-935,217,-141
1690,-934,217,-140
1692,-932,218,-140
1694,-930,219,-139
1696,-929,219,-139
1698,-927,219,-139
1700,-926,220,-139
1702,-924,220,-138
1704,-923,220,-138
1706,-922,221,-138
1708,-922,221,-138
1710,-922,222,-138
1712,-922,223,-138
1714,-922,224,-138
1716,-922,226,-137
1718,-921,227,-137
1720,-920,229,-137
1722,-918,231,-137
1724,-917,231,-136
1726,-916,232,-136
1728,-915,233,-136
1730,-913,233,-136
1732,-912,233,-135
1734,-910,233,-135
1736,-909,233,-134
1738,-907,233,-134
1740,-906,233,-134
1742,-905,233,-134
1744,-904,233,-133
1746,-903,233,-133
1748,-903,233,-133
1750,-902,234,-133
1752,-902,235,-133
1754,-902,235,-133
1756,-902,236,-133
1758,-902,237,-133
1760,-901,237,-133
1762,-900,238,-133
1764,-899,238,-133
1766,-897,238,-132
1768,-896,239,-132
1770,-895,239,-132
1772,-894,239,-131
1774,-893,239,-131
1776,-892,238,-131
1778,-892,239,-131
1780,-891,239,-131
1782,-890,239,-131
1784,-890,239,-131
1786,-889,240,-130
1788,-888,240,-130
1790,-887,240,-130
1792,-887,241,-130
1794,-886,242,-130
1796,-884,244,-129
1798,-882,244,-129
1812,-872,249,-125
1814,-870,249,-125
1816,-870,248,-124
1818,-869,248,-124
1820,-869,247,-124
1834,-860,249,-122
1836,-859,250,-121
1838,-858,250,-121
1840,-856,251,-121
1842,-855,251,-120
1844,-853,251,-120
1846,-851,252,-119
1848,-849,252,-119
1850,-847,252,-118
1852,-846,253,-118
1854,-844,252,-117
1856,-842,252,-117
1858,-841,252,-117
1860,-839,252,-116
1862,-838,253,-116
1864,-837,253,-116
1866,-836,253,-116
1868,-835,253,-115
1870,-834,253,-115
1872,-833,254,-115
1874,-833,254,-115
1876,-832,254,-114
1878,-831,253,-114
1880,-830,253,-114
1882,-830,253,-114
1884,-828,254,-114
1886,-827,254,-113
1888,-826,254,-113
1890,-825,254,-113
1892,-824,254,-112
1894,-823,255,-112
1896,-822,255,-112
1898,-821,255,-112
1900,-820,255,-111
1902,-819,255,-111
1904,-818,255,-111
1906,-817,255,-110
1908,-816,256,-110
1910,-815,256,-110
1912,-814,256,-110
1914,-813,256,-109
1916,-812,257,-109
1918,-812,257,-109
1920,-811,257,-109
1922,-810,257,-108
1924,-809,257,-108
1926,-809,257,-108
1928,-808,257,-108
1930,-807,258,-108
1932,-807,258,-107
1934,-806,258,-107
1936,-806,258,-107
1938,-805,258,-107
1940,-804,258,-107
1942,-804,258,-107
1944,-804,259,-107
1946,-805,259,-107
1948,-805,260,-107
1950,-806,260,-107
1952,-805,261,-107
1954,-805,262,-107
1956,-805,262,-107
1958,-805,263,-107
1960,-805,264,-107
1962,-804,265,-107
1964,-805,266,-107
1966,-805,267,-107
1968,-805,268,-107
1970,-805,269,-107
1972,-804,269,-107
1974,-804,269,-107
1976,-803,269,-106
1978,-802,269,-106
1980,-802,269,-106
1982,-801,269,-106
1984,-800,269,-106
1986,-799,268,-105
1988,-798,268,-105
1990,-797,268,-105
1992,-796,268,-105
1994,-795,268,-104
1996,-794,268,-104
1998,-794,269,-104
2000,-794,269,-104
2002,-794,269,-104
2004,-794,270,-104
2006,-794,270,-104
2008,-793,271,-104
2010,-793,271,-104
2012,-793,271,-104
2014,-793,272,-104
2016,-793,272,-104
2018,-792,272,-104
2020,-792,272,-104
2022,-792,272,-103
2024,-791,272,-103
2026,-791,272,-103
2028,-790,273,-103
2030,-790,273,-103
2032,-790,273,-103
2034,-789,273,-103
2036,-788,273,-103
2038,-788,273,-102
2040,-788,273,-102
2042,-787,274,-102
2054,-784,275,-101
2056,-783,275,-101
2058,-783,276,-101
2060,-782,276,-101
2062,-781,277,-101
2064,-781,277,-101
2066,-780,278,-100
2068,-780,278,-100
2070,-779,278,-100
2072,-778,279,-100
2074,-777,279,-100
2076,-777,279,-100
2078,-776,280,-99
2080,-775,280,-99
2082,-774,281,-99
2084,-773,282,-99
2086,-771,282,-98
2088,-771,283,-98
2090,-770,284,-98
2092,-769,284,-98
2094,-767,285,-97
2096,-766,286,-97
2098,-766,286,-97
2100,-769,286,-98
2102,-768,285,-98
2104,-768,284,-98
2106,-767,284,-98
2108,-766,284,-98
2110,-766,284,-97
2112,-766,284,-98
2114,-766,284,-98
2116,-766,284,-97
2118,-765,285,-97
2120,-765,285,-97
2122,-765,285,-97
2124,-765,284,-97
2126,-765,284,-97
2128,-765,284,-97
2130,-765,283,-97
2132,-766,283,-98
2134,-766,284,-98
2136,-766,284,-98
2138,-766,284,-98
2140,-766,283,-98
2142,-767,283,-98
2144,-767,283,-98
2146,-767,283,-98
2148,-767,282,-98
2150,-768,282,-98
2152,-768,282,-98
2154,-768,281,-98
2156,-769,281,-98
2158,-769,281,-98
2160,-770,281,-99
2162,-770,281,-99
2164,-771,281,-99
2166,-771,281,-99
2168,-771,281,-99
2170,-771,281,-99
2172,-772,281,-99
2174,-772,281,-99
2176,-772,281,-99
2178,-772,282,-99
2180,-772,282,-99
2182,-772,282,-99
2184,-772,283,-99
2186,-771,283,-99
2188,-771,283,-99
2190,-771,284,-98
2192,-771,284,-98
2194,-771,284,-98
2196,-771,284,-98
2198,-771,283,-98
2200,-771,283,-99
2202,-772,282,-99
2204,-773,281,-99
2206,-773,281,-99
2208,-774,281,-99
2210,-775,281,-99
2212,-776,280,-100
2214,-776,280,-100
2216,-777,280,-100
2218,-777,280,-100
2220,-778,280,-100
2222,-779,279,-100
2224,-779,279,-100
2226,-779,279,-100
2228,-780,279,-100
2230,-780,279,-101
2232,-781,279,-101
2234,-781,279,-101
2236,-781,279,-101
2238,-781,279,-101
2240,-782,279,-101
2242,-782,279,-101
2244,-782,280,-101
2246,-782,279,-101
2248,-783,279,-101
2250,-783,280,-101
2252,-783,279,-101
2254,-783,280,-101
2256,-784,280,-101
2258,-784,280,-101
2260,-784,280,-101
2262,-785,280,-101
2264,-785,280,-101
2266,-785,280,-101
2268,-785,280,-101
2270,-786,280,-102
2272,-786,280,-102
2274,-786,280,-102
2276,-787,280,-102
2278,-787,280,-102
2280,-787,279,-102
2282,-788,279,-102
2284,-788,279,-102
2286,-789,279,-102
2288,-790,279,-102
2290,-791,278,-103
2292,-791,278,-103
2294,-792,278,-103
2296,-793,278,-103
2298,-794,278,-103
2300,-795,277,-103
2302,-795,277,-104
2304,-796,277,-104
2306,-797,277,-104
2308,-798,276,-104
2310,-799,276,-104
2312,-799,276,-104
2314,-800,276,-105
2316,-801,276,-105
2318,-801,275,-105
2320,-802,275,-105
2322,-803,275,-105
2324,-803,275,-105
2326,-804,275,-105
2328,-804,275,-106
2330,-805,275,-106
2332,-806,274,-106
2334,-807,274,-106
2336,-807,274,-106
2338,-808,274,-106
2340,-809,274,-107
2342,-809,274,-107
2344,-810,273,-107
2346,-811,273,-107
2348,-812,273,-107
2350,-813,273,-108
2352,-813,273,-108
2354,-814,273,-108
2356,-815,273,-108
2358,-816,273,-108
2360,-817,273,-109
2362,-817,272,-109
2364,-818,272,-109
2366,-819,272,-109
2368,-819,272,-109
2370,-820,272,-109
2372,-821,272,-109
2374,-821,272,-110
2376,-822,272,-110
2378,-822,272,-110
2380,-823,272,-110
2382,-824,272,-110
2384,-825,271,-110
2386,-825,271,-110
2388,-826,271,-111
2390,-827,270,-111
2392,-828,270,-111
2394,-829,270,-111
2396,-830,270,-112
2398,-831,269,-112
2400,-832,269,-112
2402,-833,269,-112
2404,-834,268,-113
2406,-835,268,-113
2408,-836,268,-113
2410,-837,268,-113
2412,-838,268,-114
2414,-839,268,-114
2416,-840,268,-114
2418,-841,267,-114
2420,-842,267,-115
2422,-843,267,-115
2424,-844,267,-115
2426,-845,267,-115
2428,-846,266,-115
2430,-848,266,-116
2432,-849,266,-116
2434,-850,266,-116
2436,-851,266,-116
2438,-851,266,-117
2440,-852,266,-117
2442,-853,266,-117
2444,-854,265,-117
2446,-855,265,-118
2448,-856,264,-118
2450,-857,264,-118
2452,-858,263,-118
2454,-859,263,-118
2456,-860,263,-119
2458,-860,263,-119
2460,-861,262,-119
2462,-862,262,-119
2464,-863,262,-119
2466,-863,262,-120
2468,-864,261,-120
2470,-864,261,-120
2472,-865,261,-120
2474,-866,261,-120
2476,-866,261,-120
2478,-867,261,-120
2480,-867,261,-121
2482,-868,261,-121
2484,-868,261,-121
2486,-869,261,-121
2488,-869,261,-121
2490,-870,261,-121
2492,-871,261,-122
2494,-871,261,-122
2496,-872,261,-122
2498,-873,260,-122
2500,-873,260,-122
2502,-874,260,-122
2504,-874,260,-122
2506,-875,260,-123
2508,-876,259,-123
2510,-876,259,-123
2512,-877,259,-123
2514,-877,259,-123
2516,-878,259,-123
2518,-878,259,-123
2520,-879,258,-123
2522,-879,258,-124
2524,-880,258,-124
2526,-881,258,-124
2528,-881,258,-124
2530,-882,258,-124
2532,-883,257,-124
2534,-884,257,-125
2536,-885,257,-125
2538,-886,257,-125
2540,-886,257,-125
2542,-887,256,-125
2544,-888,256,-125
2546,-889,256,-126
2548,-890,255,-126
2550,-891,255,-126
2552,-892,255,-126
2554,-893,254,-127
2556,-894,254,-127
2558,-895,254,-127
2560,-896,254,-128
2562,-897,253,-128
2564,-898,253,-128
2566,-899,253,-128
2568,-900,252,-128
2570,-901,252,-129
2572,-901,252,-129
2574,-902,252,-129
2576,-903,251,-129
2578,-903,251,-129
2580,-904,251,-129
2582,-905,251,-130
2584,-905,251,-130
2586,-906,251,-130
2588,-906,251,-130
2590,-907,251,-130
2592,-907,250,-130
2594,-907,250,-130
2596,-908,250,-130
2598,-908,250,-131
2600,-909,250,-131
2602,-909,250,-131
2604,-910,250,-131
2606,-910,250,-131
2608,-911,249,-131
2610,-912,249,-131
2612,-912,249,-132
2614,-913,249,-132
2616,-913,249,-132
2618,-914,248,-132
2620,-915,248,-132
2622,-915,248,-132
2624,-916,248,-133
2626,-916,248,-133
2628,-917,248,-133
2630,-918,247,-133
2632,-918,247,-133
2634,-919,247,-133
2636,-919,247,-134
2638,-920,247,-134
2640,-921,247,-134
2642,-921,247,-134
2644,-922,246,-134
2646,-922,246,-134
2648,-923,246,-135
2650,-923,246,-135
2652,-924,246,-135
2654,-925,246,-135
2656,-925,246,-135
2658,-926,246,-135
2660,-926,246,-135
2662,-926,246,-136
2676,-930,245,-137
2678,-931,245,-137
2680,-931,245,-137
2682,-931,245,-137
2684,-932,245,-137
2686,-933,244,-138
2688,-933,244,-138
2690,-934,244,-138
2692,-935,244,-139
